DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.

Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
1950-12-31,31.15,,
1951-12-31,30.701,-1.44,
1952-12-31,30.251,-1.47,
1953-12-31,29.802,-1.48,
1954-12-31,29.353,-1.51,
1955-12-31,28.903,-1.53,
1956-12-31,28.454,-1.55,
1957-12-31,28.004,-1.58,
1958-12-31,27.555,-1.6,
1959-12-31,27.103,-1.64,
1960-12-31,26.65,-1.67,
1961-12-31,26.198,-1.7,
1962-12-31,25.745,-1.73,
1963-12-31,25.293,-1.76,
1964-12-31,24.952,-1.35,
1965-12-31,24.611,-1.37,
1966-12-31,24.271,-1.38,
1967-12-31,23.93,-1.4,
1968-12-31,23.589,-1.42,
1969-12-31,23.276,-1.33,
1970-12-31,22.964,-1.34,
1971-12-31,22.651,-1.36,
1972-12-31,22.339,-1.38,
1973-12-31,22.026,-1.4,
1974-12-31,21.672,-1.61,
1975-12-31,21.318,-1.63,
1976-12-31,20.963,-1.67,
1977-12-31,20.609,-1.69,
1978-12-31,20.255,-1.72,
1979-12-31,19.966,-1.43,
1980-12-31,19.676,-1.45,
1981-12-31,19.387,-1.47,
1982-12-31,19.097,-1.5,
1983-12-31,18.808,-1.51,
1984-12-31,18.777,-0.16,
1985-12-31,18.747,-0.16,
1986-12-31,18.716,-0.17,
1987-12-31,18.686,-0.16,
1988-12-31,18.655,-0.17,
1989-12-31,18.621,-0.18,
1990-12-31,18.588,-0.18,
1991-12-31,18.554,-0.18,
1992-12-31,18.521,-0.18,
1993-12-31,18.487,-0.18,
1994-12-31,18.43,-0.31,
1995-12-31,18.374,-0.3,
1996-12-31,18.317,-0.31,
1997-12-31,18.261,-0.31,
1998-12-31,18.204,-0.31,
1999-12-31,18.023,-0.99,
2000-12-31,17.842,-1,
2001-12-31,17.66,-1.02,
2002-12-31,17.479,-1.02,
2003-12-31,17.298,-1.04,
2004-12-31,16.863,-2.51,
