DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.

Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
2000-12-31,17.652,3.1974,
2001-12-31,18.4887,3.1895,
2002-12-31,18.0639,2.4906,
2003-12-31,39.0772,5.0536,
2004-12-31,44.1644,4.6337,
2005-12-31,53.9266,4.4659,
2006-12-31,65.7238,4.2578,
2007-12-31,69.1504,3.91,
2008-12-31,80.0999,3.6958,
2009-12-31,68.0069,3.5802,
2010-12-31,75.5892,3.2965,
2011-12-31,83.1065,3.3208,
2012-12-31,91.0605,3.3598,
2013-12-31,100.817,3.4207,
2014-12-31,106.1196,3.3484,
2015-12-31,96.2833,3.5819,
2016-12-31,78.236,3.6477,
2017-12-31,72.7743,3.7476,
2018-12-31,65.7027,3.0907,
2019-12-31,69.6815,2.9855,
2020-12-31,69.7618,3.3806,
2021-12-31,83.8406,4.0763,
