DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.

Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
1988-12-31,23.8,,
1989-12-31,24.69,0.89,
1990-12-31,24.83,0.14,
1992-12-31,25.32,0.49,
1995-12-31,91.27,65.95,
1996-12-31,16.06,-75.21,
1997-12-31,16.21,0.15,
1998-12-31,16.21,0,
1999-12-31,19.77,3.56,
2000-12-31,19.99,0.22,
2001-12-31,21.47,1.48,
2002-12-31,18.45,-3.02,
2003-12-31,20.62,2.17,
2005-12-31,9.34,-11.28,
2006-12-31,9.4,0.06,
2008-12-31,9.79,0.39,
2009-12-31,9.83,0.04,
2010-12-31,10.7,0.87,
2011-12-31,10.15,-0.55,
2013-12-31,10.07,-0.08,
2014-12-31,11.34,1.27,
2015-12-31,8.22,-3.12,
2016-12-31,8.52,0.3,
2020-12-31,12.37,3.85,
2021-12-31,12.2,-0.17,
